"","TP_SEXO","ST_CONCLUSAO","TP_ESCOLA","IN_TP_ENSINO","TP_COR_RACA","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DEFICIENCIA_AUDITIVA","IN_SURDO_CEGUEIRA","IN_DEFICIENCIA_FISICA","IN_DEFICIENCIA_MENTAL","IN_DEFICIT_ATENCAO","IN_DISLEXIA","IN_AUTISMO","ID_DEPENDENCIA_ADM","ID_LOCALIZACAO","NU_NOTA_REDACAO"
"19",0,0.333333333333333,1,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,1,0.5,0.590909090909091
"20",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"21",0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909
"22",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"23",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.75
"24",1,0.333333333333333,1,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,1,0.5,0.681818181818182
"25",1,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.431818181818182
"27",0,0.333333333333333,0.5,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.477272727272727
"28",1,0.333333333333333,0.5,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.659090909090909
"29",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0.666666666666667,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.477272727272727
"32",0,1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.477272727272727
"33",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.840909090909091
"35",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.818181818181818
"36",0,0.333333333333333,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.613636363636364
"37",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"38",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"39",0,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.477272727272727
"40",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"41",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0
"42",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.568181818181818
"43",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818181818
"44",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.477272727272727
"45",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.772727272727273
"46",0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.454545454545455
"47",0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.340909090909091
"48",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",1,0,0,0.333333333333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"50",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.840909090909091
"51",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"52",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"53",1,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"54",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.704545454545455
"55",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636363636
